date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
1/15/2014,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
2/15/2014,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
3/15/2014,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
4/15/2014,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
5/15/2014,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
6/15/2014,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
7/15/2014,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
8/15/2014,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
9/15/2014,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
10/15/2014,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
11/15/2014,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
12/15/2014,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
1/15/2015,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
2/15/2015,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
3/15/2015,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
6/15/2015,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
7/15/2015,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
8/15/2015,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
9/15/2015,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
10/15/2015,Bread - Retail,KG,cereals and tubers,56.25,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
11/15/2015,Bread - Retail,KG,cereals and tubers,65.25,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
12/15/2015,Bread - Retail,KG,cereals and tubers,55.5,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
1/15/2016,Bread - Retail,KG,cereals and tubers,55.5,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
3/15/2016,Bread - Retail,KG,cereals and tubers,55.5,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
4/15/2016,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
5/15/2016,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
6/15/2016,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
7/15/2016,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
8/15/2016,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
9/15/2016,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
10/15/2016,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
11/15/2016,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
12/15/2016,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
1/15/2017,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
2/15/2017,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
3/15/2017,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
4/15/2017,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
5/15/2017,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
6/15/2017,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
7/15/2017,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
8/15/2017,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
9/15/2017,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
10/15/2017,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
11/15/2017,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
12/15/2017,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
1/15/2018,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
2/15/2018,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
3/15/2018,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
4/15/2018,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
5/15/2018,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
6/15/2018,Bread - Retail,KG,cereals and tubers,52.6,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
7/15/2018,Bread - Retail,KG,cereals and tubers,52.6225,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
8/15/2018,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
9/15/2018,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
10/15/2018,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
11/15/2018,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
12/15/2018,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
1/15/2019,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
2/15/2019,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
3/15/2019,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
4/15/2019,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
5/15/2019,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
6/15/2019,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
7/15/2019,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
8/15/2019,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
9/15/2019,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
10/15/2019,Bread - Retail,KG,cereals and tubers,50,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,55,15,5,1,266_55_15_5,
1/15/2003,Wheat - Retail,KG,cereals and tubers,7,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
2/15/2003,Wheat - Retail,KG,cereals and tubers,6,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
3/15/2003,Wheat - Retail,KG,cereals and tubers,7,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
4/15/2003,Wheat - Retail,KG,cereals and tubers,6,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
5/15/2003,Wheat - Retail,KG,cereals and tubers,6,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
6/15/2003,Wheat - Retail,KG,cereals and tubers,7,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
7/15/2003,Wheat - Retail,KG,cereals and tubers,7,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
8/15/2003,Wheat - Retail,KG,cereals and tubers,7.275,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
9/15/2003,Wheat - Retail,KG,cereals and tubers,6.775,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
10/15/2003,Wheat - Retail,KG,cereals and tubers,7.175,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
11/15/2003,Wheat - Retail,KG,cereals and tubers,6.975,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
12/15/2003,Wheat - Retail,KG,cereals and tubers,6.225,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
1/15/2004,Wheat - Retail,KG,cereals and tubers,6.05,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
2/15/2004,Wheat - Retail,KG,cereals and tubers,6.8375,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
3/15/2004,Wheat - Retail,KG,cereals and tubers,8.625,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
4/15/2004,Wheat - Retail,KG,cereals and tubers,8.985,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
5/15/2004,Wheat - Retail,KG,cereals and tubers,7.6244,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
6/15/2004,Wheat - Retail,KG,cereals and tubers,9.4,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
7/15/2004,Wheat - Retail,KG,cereals and tubers,10.25,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
8/15/2004,Wheat - Retail,KG,cereals and tubers,11.75,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
9/15/2004,Wheat - Retail,KG,cereals and tubers,9.7561,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
10/15/2004,Wheat - Retail,KG,cereals and tubers,11.4,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
11/15/2004,Wheat - Retail,KG,cereals and tubers,11.1275,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
12/15/2004,Wheat - Retail,KG,cereals and tubers,11.2,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
1/15/2005,Wheat - Retail,KG,cereals and tubers,11.4,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
2/15/2005,Wheat - Retail,KG,cereals and tubers,11.4,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
3/15/2005,Wheat - Retail,KG,cereals and tubers,11.4,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
4/15/2005,Wheat - Retail,KG,cereals and tubers,11.4,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
5/15/2005,Wheat - Retail,KG,cereals and tubers,11.4,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
6/15/2005,Wheat - Retail,KG,cereals and tubers,11.435,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
7/15/2005,Wheat - Retail,KG,cereals and tubers,11.4225,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
8/15/2005,Wheat - Retail,KG,cereals and tubers,11.24,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
9/15/2005,Wheat - Retail,KG,cereals and tubers,11.55,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
10/15/2005,Wheat - Retail,KG,cereals and tubers,11.995,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
11/15/2005,Wheat - Retail,KG,cereals and tubers,12.175,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
12/15/2005,Wheat - Retail,KG,cereals and tubers,12.73,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
1/15/2006,Wheat - Retail,KG,cereals and tubers,13.625,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
2/15/2006,Wheat - Retail,KG,cereals and tubers,12.75,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
3/15/2006,Wheat - Retail,KG,cereals and tubers,14.125,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
4/15/2006,Wheat - Retail,KG,cereals and tubers,13.25,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
5/15/2006,Wheat - Retail,KG,cereals and tubers,13.625,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
6/15/2006,Wheat - Retail,KG,cereals and tubers,13.375,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
7/15/2006,Wheat - Retail,KG,cereals and tubers,12.95,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
8/15/2006,Wheat - Retail,KG,cereals and tubers,13,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
9/15/2006,Wheat - Retail,KG,cereals and tubers,13.75,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
10/15/2006,Wheat - Retail,KG,cereals and tubers,14,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
11/15/2006,Wheat - Retail,KG,cereals and tubers,14.3333,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
12/15/2006,Wheat - Retail,KG,cereals and tubers,15,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
1/15/2007,Wheat - Retail,KG,cereals and tubers,15,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
2/15/2007,Wheat - Retail,KG,cereals and tubers,15.25,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
3/15/2007,Wheat - Retail,KG,cereals and tubers,16,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
4/15/2007,Wheat - Retail,KG,cereals and tubers,16,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
5/15/2007,Wheat - Retail,KG,cereals and tubers,17.25,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
6/15/2007,Wheat - Retail,KG,cereals and tubers,23.375,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
7/15/2007,Wheat - Retail,KG,cereals and tubers,25,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
8/15/2007,Wheat - Retail,KG,cereals and tubers,24,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
9/15/2007,Wheat - Retail,KG,cereals and tubers,20,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
10/15/2007,Wheat - Retail,KG,cereals and tubers,18.35,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
11/15/2007,Wheat - Retail,KG,cereals and tubers,17.8,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
12/15/2007,Wheat - Retail,KG,cereals and tubers,20.85,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
1/15/2008,Wheat - Retail,KG,cereals and tubers,24.775,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
2/15/2008,Wheat - Retail,KG,cereals and tubers,24.3,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
3/15/2008,Wheat - Retail,KG,cereals and tubers,25.7,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
4/15/2008,Wheat - Retail,KG,cereals and tubers,37.275,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
5/15/2008,Wheat - Retail,KG,cereals and tubers,44.4,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
6/15/2008,Wheat - Retail,KG,cereals and tubers,33,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
7/15/2008,Wheat - Retail,KG,cereals and tubers,34.775,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
8/15/2008,Wheat - Retail,KG,cereals and tubers,34.95,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
9/15/2008,Wheat - Retail,KG,cereals and tubers,35.7,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
10/15/2008,Wheat - Retail,KG,cereals and tubers,32.3,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
11/15/2008,Wheat - Retail,KG,cereals and tubers,27.975,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
12/15/2008,Wheat - Retail,KG,cereals and tubers,27.11,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
1/15/2009,Wheat - Retail,KG,cereals and tubers,25.885,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
2/15/2009,Wheat - Retail,KG,cereals and tubers,22.85,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
3/15/2009,Wheat - Retail,KG,cereals and tubers,21.225,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
4/15/2009,Wheat - Retail,KG,cereals and tubers,21.2,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
5/15/2009,Wheat - Retail,KG,cereals and tubers,20.875,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
6/15/2009,Wheat - Retail,KG,cereals and tubers,20.7,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
7/15/2009,Wheat - Retail,KG,cereals and tubers,17.035,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
8/15/2009,Wheat - Retail,KG,cereals and tubers,17.14,AFN,Afghanistan,Badakhshan,272,Fayzabad,266,84,15,5,1,266_84_15_5,
